"id","app","area","routeOrScreen","filePath","componentOrFunction","issueType","severity","currentTextOrKey","expectedBehavior","missingLocale","evidence","recommendedFix","testToAdd","needsManualTranslationReview"
"MOB-018","mobile","settings/profile","/settings/profile","apps/mobile/app/settings/profile.tsx","ProfileSettingsScreen","ROUTE_NOT_LOCALIZED","High","Edit Profile; Profile unavailable; Has Children; Number of Children; Pet Types; Move Type; Moving Needs; Sensitive Profile; Prefer not to say","Profile settings should be fully localized.","es","Lines 103,114,122,138,142,187,243-391 contain English labels/alerts.","Move all labels/options/alerts to settings.profile/onboarding keys.","Spanish profile settings snapshot and validation test.","true"
"MOB-019","mobile","settings/profile","/settings/profile","apps/mobile/app/settings/profile.tsx","FAMILY_STATUSES","MOBILE_WEB_TERMINOLOGY_MISMATCH","Medium","SINGLE -> common.unknown; COUPLE -> common.yes; FAMILY -> first word of onboarding.goal_organize","Family-status labels should be correct and consistent with web/onboarding terminology.","es","Lines 35-39 derive labels from unrelated translation keys.","Add explicit profile.familyStatus_* keys for both locales.","Unit test that enum labels match expected Spanish copy.","true"
"MOB-020","mobile","settings/privacy","/settings/privacy","apps/mobile/app/settings/privacy.tsx","PrivacySettingsScreen","ROUTE_NOT_LOCALIZED","High","Account security; Linked sign-in methods and real login sessions; Loading account security...; Email verified; Password enabled; OAuth only; Login sessions; Analytics","Privacy/security settings should be fully localized.","es","Lines 280-395 contain English headings, descriptions, badges, buttons, loading/error states.","Add settings.security/session/analytics keys; localize session badges and dates.","Spanish privacy settings render test with security fixture.","false"
"MOB-021","mobile","settings/privacy","/settings/privacy","apps/mobile/app/settings/privacy.tsx","requestSetPasswordEmail/revokeOtherSessions/updateAnalyticsConsent","TOAST_OR_ALERT_NOT_LOCALIZED","High","Privacy; Password; We sent a secure password setup link to your email.; Sessions; other session(s) revoked.","Privacy/security alerts should be localized and pluralized.","es","Lines 119,162,167,179,184 hardcode Alert.alert titles/messages.","Use settings.security alert keys and i18next pluralization.","Spanish alert tests for password setup and revoke sessions.","false"
"MOB-022","mobile","settings/delete","/settings/delete-account","apps/mobile/app/settings/delete-account.tsx","DeleteAccountScreen","HARDCODED_ENGLISH","High","Password; Password required; Use the emailed setup link...; Email setup link","Delete-account password-required flow should be localized.","es","Lines 50,54,59,116,128 hardcode password setup copy.","Add settings.delete/passwordRequired keys and localized alerts.","Spanish OAuth-only delete account test.","true"
"MOB-023","mobile","settings/delete","/settings/delete-account","apps/mobile/app/settings/delete-account.tsx","DeleteAccountScreen a11y","ACCESSIBILITY_LABEL_NOT_LOCALIZED","Medium","Go back; Returns to privacy settings; Delete account confirmation text; Current password; Permanently delete account; Deletes your account and all associated data","Delete-account accessibility labels/hints should be localized.","es","Lines 92-93,145,157-158,167-168 hardcode a11y copy.","Add accessibility keys or derive from visible localized labels.","Spanish accessibility query test.","false"
"MOB-024","mobile","settings/export","/settings/export","apps/mobile/app/settings/export.tsx","ExportSettingsScreen","API_ERROR_NOT_LOCALIZED","Medium","res.error; Export storage is unavailable on this device.","Export errors should be localized and not show raw backend English.","es","Line 70 throws English fallback; line 93 displays e.message/res.error.","Map export API/storage errors to settings.export keys.","Spanish export error test.","false"
"MOB-025","mobile","settings/subscription","/settings/subscription","apps/mobile/app/settings/subscription.tsx","SubscriptionSettingsScreen","API_ERROR_NOT_LOCALIZED","Medium","getLocalizedIapError(result.message); res.error shown in alerts","Store/backend billing messages should be mapped to localized copy.","es","Subscription screen localizes many labels but alerts may show raw IAP/API English messages.","Map known IAP/backend codes; do not display arbitrary English messages directly.","Spanish IAP error mapping tests.","true"
"MOB-026","mobile","moving","/moving/[id]; /moving/new","apps/mobile/app/moving/[id].tsx; apps/mobile/app/moving/new.tsx","Moving screens","API_ERROR_NOT_LOCALIZED","Medium","Alert.alert(t('moving.moveTasksAlert'), res.error)","Moving API errors should be localized/code-mapped.","es","moving/[id] lines 103,116,202 and moving/new line 253 pass res.error.","Map moving API error codes to moving keys.","Spanish moving API error alert tests.","false"
"MOB-027","mobile","shared input","Input password toggle","apps/mobile/src/components/ui/Input.tsx","Input","ACCESSIBILITY_LABEL_NOT_LOCALIZED","Low","Show password; Hide password; Toggles password visibility","Password visibility accessibility labels/hints should be localized.","es","Lines 69-70 hardcode labels/hint.","Add common.showPassword/hidePassword/passwordVisibilityHint keys.","Spanish accessibility test for password input.","false"
"MOB-028","mobile","i18n messages","services.summaryLine","apps/mobile/src/i18n/messages/en.json; apps/mobile/src/i18n/messages/es.json","i18next resources","PLURALIZATION_ISSUE","High","{{count}} service{{count, plural, one {} other {s}}} ...","Mobile i18next should use supported pluralization syntax or ICU plugin.","es","Mobile config has no i18next-icu; services.summaryLine and missingCostHint contain ICU plural syntax.","Replace with i18next plural keys (`summaryLine_one/other`) or install/configure ICU.","Unit test t('services.summaryLine',{count:1/2}) in en/es.","false"
"MOB-029","mobile","i18n messages","providers.daysUntilMove; moving.overdueSummary","apps/mobile/src/i18n/messages/en.json; apps/mobile/src/i18n/messages/es.json","i18next resources","INTERPOLATION_MISMATCH","High","EN providers.daysUntilMove has plural ICU vars; ES does not. ES moving.overdueSummary has ICU plural vars; EN does not.","Interpolation variables and plural handling should match and render correctly.","es","Flattened comparison found 2 interpolation mismatches caused by unsupported ICU syntax.","Use i18next plural keys and align variable sets.","Coverage test for interpolation variable parity and plural rendering.","false"
"MOB-030","mobile","i18n messages","mobile dictionaries","apps/mobile/src/i18n/messages/en.json; apps/mobile/src/i18n/messages/es.json","messages","ES_EQUALS_EN","Info","19 ES values exactly equal EN","Equal values should be reviewed and allowlisted only for acronyms/product/legal/provider terms.","es","Flattened comparison found equal values including Fitness, FAQ, Ticket, Error, General, Push, Legal, DMV, HOA.","Manual copy review and allowlist expected identical values.","Translation parity test with equal-value allowlist.","true"
"MOB-031","mobile","i18n keys","mobile dictionaries/source","apps/mobile/src/i18n/messages/en.json; apps/mobile","messages/static use scan","UNUSED_TRANSLATION_KEY","Info","176 static unused candidates","Unused/stale keys should be confirmed with dynamic-aware tooling before deletion.","","Static scan found candidates; many categories/coverage keys are dynamically referenced.","Add i18n key usage test aware of dynamic patterns like categories.${key} and coverage.${confidence}.","CI key usage test with dynamic pattern allowlist.","false"
"MOB-032","mobile","native config","app name/permissions","apps/mobile/app.json; apps/mobile/android/app/src/main/res/values/strings.xml","Expo/Android config","NEEDS_MANUAL_REVIEW","Low","LocateFlow; Use Face ID to unlock LocateFlow.","Brand app name can stay English; permission copy may need native localization if shipped in Spanish markets.","es","app.json line 107 has English Face ID permission string; Android app_name is brand.","Add native iOS/Android localized permission strings if app store locale requires Spanish.","Native config localization smoke check.","true"
