"id","app","area","routeOrScreen","filePath","componentOrFunction","issueType","severity","currentTextOrKey","expectedBehavior","missingLocale","evidence","recommendedFix","testToAdd","needsManualTranslationReview"
"WEB-011","web","addresses","/addresses/[id]/edit","apps/web/src/app/(app)/addresses/[id]/edit/page.tsx","EditAddressPage","ROUTE_NOT_LOCALIZED","High","Edit Address; Address Details; Type; Home; Work; Owner; Renter; Save Changes","Edit-address route should use addresses/common translation keys.","es","Line 113 title and surrounding form copy are hardcoded; no next-intl usage.","Wire translations for field labels, options, buttons, and toasts.","Render edit address in Spanish and assert labels/options.","false"
"WEB-012","web","addresses","/addresses/[id]","apps/web/src/app/(app)/addresses/[id]/page.tsx","AddressDetailPage","HARDCODED_ENGLISH","Medium","Mail & Postal; Tax (IRS); DMV; Remove; Edit; service removal error fallbacks","Address detail categories, actions, and service-removal errors should be localized.","es","CATEGORY_META English labels and local serviceRemoveErrorMessage fallbacks are rendered.","Map category enum values to i18n keys; map API codes to localized errors.","Spanish address detail test with service rows and removal failures.","false"
"WEB-013","web","services","/services","apps/web/src/app/(app)/services/services-client.tsx","ServicesClient","HARDCODED_ENGLISH","Medium","Services are the actual accounts you track at an address...; /mo; +N more","Services overview subtitles, suffixes, and checklist snippets should be localized.","es","Services client mixes translations with direct English copy and shared English checklist output.","Move subtitle/suffixes to services keys; localize shared checklist render path.","Spanish /services snapshot with checklist and costs.","false"
"WEB-014","web","services","/services/new","apps/web/src/app/(app)/services/new/page.tsx","NewServicePage","ROUTE_NOT_LOCALIZED","Critical","Add Services; Select Address; Add local/custom provider; Hide categories; Add billing details","Service-add flow should render entirely in Spanish.","es","Line 393 title and most form/category/custom-provider strings are hardcoded; no next-intl usage.","Localize whole route and reuse mobile/services keys where possible.","Spanish service-add e2e from address selection through custom provider.","false"
"WEB-015","web","services","/services/new","apps/web/src/app/(app)/services/new/page.tsx","NewServicePage handlers","VALIDATION_MESSAGE_NOT_LOCALIZED","High","Please select an address.; Verify your email before adding services.; You have reached the active service limit.","Service-add validation, entitlement, email-verification, and subscription errors should be localized.","es","Handlers return local English strings or raw API data.error.","Use localized client keys and backend error codes.","Spanish tests for missing address, email gate, service limit, subscription gate.","false"
"WEB-016","web","services","/services/[id]","apps/web/src/app/(app)/services/[id]/page.tsx","ServiceDetailPage","ROUTE_NOT_LOCALIZED","High","Back; Edit; Active; Inactive; Billing; Monthly Cost; Account #; Remove from my services","Service detail route should use services/common translations and locale date formatting.","es","Whole route has hardcoded labels/statuses/dialog copy and fixed English date/cycle text.","Localize route and map billing cycle/status/category values.","Spanish service detail snapshot.","false"
"WEB-017","web","services","/services/[id]/edit","apps/web/src/app/(app)/services/[id]/edit/page.tsx","EditServicePage","ROUTE_NOT_LOCALIZED","High","Edit Service; Provider Name *; Contact & Billing; Monthly Cost ($); Save Changes","Service edit route should use services/common translations.","es","Whole form is hardcoded English and fallback error is English.","Wire next-intl and reuse existing service form keys.","Spanish service edit validation/save test.","false"
"WEB-018","web","providers","/providers","apps/web/src/app/(app)/providers/providers-client.tsx","ProvidersClient","ROUTE_NOT_LOCALIZED","High","Providers; Choose address; Listed providers, manual tracking only; Recommended for you; Clear filters","Provider list should render Spanish for all controls, badges, empty/loading states, and explanatory text.","es","Client has no next-intl and hardcodes page text, filters, badges, and caveats.","Add providers namespace wiring and category/coverage key mapping.","Spanish /providers render test with empty, loading, filtered states.","false"
"WEB-019","web","providers","/providers/[id]","apps/web/src/app/(app)/providers/[id]/detail-client.tsx","ProviderDetailClient","ROUTE_NOT_LOCALIZED","High","Track manually as my service; Listed provider, manual tracking only; Provider details; Coverage; Tags","Provider detail should localize CTAs, trust banners, coverage, details, and related providers.","es","Line 179 CTA and surrounding detail copy are hardcoded.","Add next-intl to detail client and reuse mobile provider localization helpers.","Spanish provider detail render test.","false"
"WEB-020","web","moving","/moving/[id]","apps/web/src/app/(app)/moving/[id]/page.tsx","MovingPlanDetailPage","HARDCODED_ENGLISH","High","Start Moving; Mark Complete; Provider accounts are not updated automatically.; Generate checklist; Done; Skip; Reopen; Delete Plan","Moving detail task and plan controls should be localized.","es","Route uses t for some labels but many alerts/buttons/cards/dialogs remain English.","Complete route-level localization; map task status/action labels to moving keys.","Spanish moving detail e2e with generated tasks and delete flow.","false"
"WEB-021","web","moving","/moving/[id]","apps/web/src/app/(app)/moving/[id]/page.tsx","MovingPlanDetailPage","WRONG_FALLBACK","High","Generated task title/description/stateNote from shared relocation engine","Generated moving tasks should render Spanish or translation-key-backed copy.","es","Shared task templates from relocation-checklist/migration-engine are English and shown in route.","Return template IDs from shared and resolve copy in web/mobile dictionaries.","Spanish generated task fixture test.","false"
"WEB-022","web","settings","/settings","apps/web/src/app/(app)/settings/page.tsx","SettingsPage","ROUTE_NOT_LOCALIZED","High","Settings; Manage your account and preferences; Profile; Notifications; Subscription; Data Export; Privacy & Security","Settings landing should be fully localized.","es","Line 149 title and settings cards are hardcoded; no next-intl usage.","Wire settings namespace for all sections and descriptions.","Spanish settings landing snapshot.","false"
"WEB-023","web","settings/account","/settings/profile","apps/web/src/app/(app)/settings/profile/page.tsx","ProfileSettingsPage","ROUTE_NOT_LOCALIZED","High","Edit Profile; Personal Info; First Name; Household Details; Sensitive Profile; Save Profile","Profile settings should use localized labels/options/disclosures/errors.","es","Route is hardcoded English and contains sensitive-data copy.","Use settings/profile/onboarding keys and legal-reviewed sensitive-copy keys.","Spanish profile settings form test.","true"
"WEB-024","web","settings/privacy","/settings/privacy","apps/web/src/app/(app)/settings/privacy/page.tsx","PrivacySettingsPage","ROUTE_NOT_LOCALIZED","High","Privacy & Security; Account security; Loading account security...; Linked methods; Sessions; Analytics; Try again","Privacy/security settings should be fully localized.","es","Line 304 and many sections are English; alerts/window.confirm are English.","Localize route, alerts, confirm dialogs, badges, and session labels.","Spanish privacy settings test with security/consent states.","false"
"WEB-025","web","settings/delete-account","settings delete dialog","apps/web/src/components/settings/delete-account-dialog.tsx","DeleteAccountDialog","HARDCODED_ENGLISH","High","Set a password first; Email setup link; Type DELETE; Delete my account; This cannot be undone","Delete-account flow should localize visible and accessibility copy.","es","Component hardcodes dialog labels, descriptions, errors, and CTA text.","Add settings.deleteAccount nested keys and localized confirm phrase handling.","Spanish delete account dialog test with password and OAuth-only states.","true"
"WEB-026","web","settings/theme","/settings","apps/web/src/components/settings/appearance-card.tsx","AppearanceCard","HARDCODED_ENGLISH","Medium","Appearance; System; Light; Dark; Theme preference","Theme controls should use settings.preferences/theme translation keys.","es","AppearanceCard has OPTIONS hardcoded and no next-intl usage.","Reuse existing UI preference keys or add settings.appearance keys.","Spanish settings appearance test.","false"
"WEB-027","web","billing","/settings/subscription","apps/web/src/components/settings/subscription-management.tsx","SubscriptionManagement","ROUTE_NOT_LOCALIZED","High","Subscription; Manage subscription; Choose a plan; Trial; Billing portal; Renews; Manage in iOS Settings","Billing/subscription page should localize plan/status/legal/billing copy and date formatting.","es","Component has no next-intl and fixed English status/legal strings.","Move subscription UI copy to settings/billing/pricing namespaces; use useLocale for dates.","Spanish subscription page test for active/trial/store plans.","true"
"WEB-028","web","settings/export","/settings/export","apps/web/src/app/(app)/settings/export/page.tsx","ExportPage","ROUTE_NOT_LOCALIZED","High","Export & Reports; Monthly Expense Reports (PDF); PDF Report; Full Account Snapshot; Data Exports","Export/report page should render Spanish for all export options, status, and toasts.","es","Line 157 title and exportOptions are English; toasts use English strings.","Localize exportOptions, PDF sections, buttons, toasts, and empty/loading text.","Spanish export page snapshot and download error test.","false"
"WEB-029","web","settings/notifications","/settings/notifications","apps/web/src/app/(app)/settings/notifications/page.tsx","NotificationsPage","ROUTE_NOT_LOCALIZED","High","Billing & Payments; Bill Due Reminders; Email Delivery; Weekly Digest Day; Save Preferences","Notification preferences should be localized.","es","notifGroups and delivery controls are English; line 95 success toast English.","Move groups/options/days/toasts to notifications/settings keys.","Spanish notification settings test with save success/failure.","false"
"WEB-030","web","notifications","/notifications","apps/web/src/app/(app)/notifications/page.tsx","NotificationsPage","TOAST_OR_ALERT_NOT_LOCALIZED","Medium","Failed to mark notification as read; Failed to mark notifications as read","Notification action failure toasts should be localized.","es","Route uses translations for headings but English toast errors remain.","Add notifications.markReadFailed/markAllReadFailed keys.","Spanish notification failure test with mocked PATCH failure.","false"
"WEB-031","web","layout/search","global search","apps/web/src/components/layout/global-search.tsx","GlobalSearch","HARDCODED_ENGLISH","High","Dashboard; Overview & stats; Search addresses, services, pages...; No results; Address; Service; Page; Navigate; Open; Close","Global search should localize static page results, placeholder, empty state, type labels, keyboard hints, and aria.","es","Static pages array and modal copy are hardcoded English.","Move search copy to nav/search/common namespaces and localize type labels.","Spanish global search component test.","false"
"WEB-032","web","layout/notifications","notification popover","apps/web/src/components/layout/notification-center.tsx","NotificationCenter","HARDCODED_ENGLISH","Medium","Notifications; new; Mark all read; Loading...; All caught up!; No notifications right now; View all; Settings; Now","Notification popover should use translations and locale-aware relative/date formatting.","es","Popover has no next-intl and hardcoded copy; formatNotificationTime uses en-US.","Wire useTranslations/useLocale and Intl.RelativeTimeFormat.","Spanish notification popover test.","false"
"WEB-033","web","layout/accessibility","app shell","apps/web/src/components/layout/app-shell.tsx","AppShell","ACCESSIBILITY_LABEL_NOT_LOCALIZED","Low","Skip to main content; Close navigation menu","Skip link and mobile overlay aria labels should be localized.","es","AppShell hardcodes skip link and overlay aria-label.","Use nav/common accessibility keys.","Spanish a11y query test for skip/nav labels.","false"
"WEB-034","web","error","app/global errors","apps/web/src/app/(app)/error.tsx; apps/web/src/app/error.tsx","Error boundaries","ROUTE_NOT_LOCALIZED","Medium","Something went wrong; An unexpected error occurred. Please try again.; Try Again","Error boundaries should localize headings, descriptions, and retry buttons.","es","App error line 21; global error line 23 hardcode English.","Use errors namespace with getTranslations/useTranslations-compatible client wrapper.","Spanish error boundary render test.","false"
"WEB-035","web","error","app not found","apps/web/src/app/(app)/not-found.tsx","NotFound","ROUTE_NOT_LOCALIZED","Medium","Page Not Found; The page you are looking for does not exist or has been moved.; Go to Dashboard","Not-found page should be localized.","es","File has no next-intl and hardcodes all text.","Use errors/nav/common keys.","Spanish not-found render test.","false"
"WEB-036","web","metadata","root metadata","apps/web/src/lib/seo.ts; apps/web/src/app/layout.tsx","metadata","METADATA_NOT_LOCALIZED","Low","LocateFlow - Track every provider tied to your addresses; Keep a living list...; openGraph.locale=en_US","Metadata title/description/OG locale should reflect active locale or use locale-aware metadata generation.","es","seo.ts lines 4-6 hardcode English; layout.tsx line 94 hardcodes en_US.","Move public metadata through localized dictionaries or provide locale alternates.","Metadata test for Spanish request/cookie.","true"
"WEB-037","web","public/help","/help","apps/web/src/components/help/help-center-content.tsx","HelpCenterContent","ROUTE_NOT_LOCALIZED","Medium","Help Center; Search articles and FAQs...; No matching help content; Was this helpful?; Yes; No; views","Public help center shell should localize headings/search/empty/feedback chrome.","es","Component hardcodes shell text while article content may be data-driven.","Add help namespace keys and locale-aware article fallback behavior.","Spanish help page render/search-empty test.","false"
"WEB-038","web","public/legal","public legal/static pages","apps/web/src/app/privacy/page.tsx; terms/page.tsx; billing-policy/page.tsx; faq/page.tsx; contact/page.tsx; data-deletion/page.tsx","PublicPageRoutes","ROUTE_NOT_LOCALIZED","Medium","Privacy Policy; Billing Policy; Frequently Asked Questions; Contact; Data Export and Deletion","Public user-facing pages and metadata should be localized or intentionally marked English-only legal copy.","es","Routes use createPublicPageMetadata with English title/description and English body arrays.","Decide legal translation scope; add localized public page content or explicit locale switch caveat.","Spanish public page smoke tests for title/body.","true"
"WEB-039","web","api","middleware/API guard","apps/web/src/middleware.ts","middleware","API_ERROR_NOT_LOCALIZED","Medium","Request body too large; Invalid content type; Too many requests; Access denied; Please sign in again.","User-facing API errors should return stable codes and clients should map codes to localized copy.","es","Lines 121, 248, 591, 614 return English JSON errors.","Return error codes plus optional English debug message; localize client display.","API error mapping test in Spanish for middleware failures.","false"
"WEB-040","web","api/auth","/api/auth/login","apps/web/src/app/api/auth/login/route.ts","POST","API_ERROR_NOT_LOCALIZED","High","Invalid email or password.; MFA verification required.; Invalid MFA code.; Too many failed attempts.","Auth errors should be localized or mapped client-side from codes.","es","Lines 108, 120, 127, 162 return English strings; sign-in displays data.error.","Return codes like INVALID_CREDENTIALS/MFA_REQUIRED and map via auth keys.","Spanish sign-in API error tests.","false"
"WEB-041","web","api/profile","/api/profile","apps/web/src/app/api/profile/route.ts","GET/POST","API_ERROR_NOT_LOCALIZED","High","You must accept the Terms of Use and Disclaimer before continuing.; Sensitive profile consent is required...","Profile/onboarding API errors should be localized or code-mapped.","es","Profile route returns English legal/sensitive consent and validation/fetch/save errors.","Return stable codes and details; clients show localized copy.","Spanish onboarding/profile API error mapping test.","true"
"WEB-042","web","api/services","/api/services","apps/web/src/app/api/services/route.ts; apps/web/src/app/api/services/[id]/route.ts","service routes","API_ERROR_NOT_LOCALIZED","High","Choose either a listed provider or a custom provider, not both; Address not found; Provider not found; Failed to update service","Service CRUD errors should be localized or code-mapped.","es","Service routes return English strings; web/mobile often show res.error.","Add service error code enum and i18n mapping.","Spanish service add/edit API error tests.","false"
"WEB-043","web","api/moving","/api/moving; /api/move-tasks; /api/moving/migration","apps/web/src/app/api/moving/route.ts; apps/web/src/app/api/moving/[id]/route.ts; apps/web/src/app/api/moving/migration/route.ts","moving routes","API_ERROR_NOT_LOCALIZED","High","Origin and destination addresses cannot be the same; Moving plan not found; Failed to analyze migration","Moving API errors should be localized/code-mapped.","es","Moving routes return English errors that moving web/mobile screens surface.","Return codes and localize via moving namespace.","Spanish moving form/detail API error tests.","false"
"WEB-044","web","api/billing","/api/stripe/*; /api/subscription/actions; /api/mobile/iap/verify","apps/web/src/app/api/stripe/checkout/route.ts; stripe/portal/route.ts; subscription/actions/route.ts; mobile/iap/verify/route.ts","billing routes","API_ERROR_NOT_LOCALIZED","High","This offer is not currently available.; Please accept the subscription terms before checkout.; Stripe not configured; Verification failed","Billing/subscription errors should be localized/code-mapped.","es","Billing route errors are English or raw constants and are surfaced in billing/mobile subscription flows.","Return billing error codes and map client-side; keep provider error details internal.","Spanish billing failure tests.","true"
"WEB-045","web","api/notifications","notification producers","apps/web/src/app/api/cron/bill-reminders/route.ts; task-reminders/route.ts; move-reminders/route.ts; contract-reminders/route.ts; trial-check/route.ts","cron notification routes","API_ERROR_NOT_LOCALIZED","Medium","Bill reminder: {provider}; Task reminder: {task}; Your move is tomorrow; Free Access ending soon; Annual renewal coming up","Generated notification titles/bodies should use recipient locale.","es","Cron routes create in-app/push/email notifications with English title/body strings despite users having preferredLocale.","Use recipient preferredLocale and localized notification templates.","Unit tests for Spanish notification title/body generation.","false"
"WEB-046","web","api/locale","/api/user/locale","apps/web/src/app/api/user/locale/route.ts","POST","LANGUAGE_SWITCH_BUG","Medium","Unsupported locale","Invalid locale response should be code-mapped and selector should persist locally on POST failure if possible.","es","Line 38 returns English; selector reloads after failed POST without setting local cookie.","Return UNSUPPORTED_LOCALE code; optionally set document.cookie before POST or handle failures visibly.","Spanish selector failure/persistence test.","false"
"WEB-047","web","i18n keys","web dictionaries","apps/web/src/i18n/messages/en.json; apps/web/src/i18n/messages/es.json","messages","ES_EQUALS_EN","Info","24 ES values exactly equal EN","Equal values should be reviewed; acceptable for brand/product/acronym/price only.","es","Flattened comparison found 24 equal values, including common.no, dashboard.premiumBadge, Fitness labels, placeholders, legal.consent_marketing.","Manual copy review; document allowed identical values in test allowlist.","Translation parity test with allowlisted equal values.","true"
"WEB-048","web","i18n keys","web dictionaries/source","apps/web/src/i18n/messages/en.json; apps/web/src","messages/static use scan","UNUSED_TRANSLATION_KEY","Info","529 static unused candidates","Unused/stale keys should be confirmed with dynamic-aware tooling before deletion.","","Static key scan found many candidates; dynamic namespaces and future routes create false positives.","Add dynamic-aware i18n key usage test and only delete after route audit.","CI key-usage test with allowlist and dynamic patterns.","false"
