"id","platform","area","filePath","routeOrScreen","issueType","severity","evidence","policyRisk","technicalRisk","recommendedFix","testsToAdd","needsManualStoreConfig"
"IAP-011","iOS","Refund and revoke state mapping","apps/web/src/lib/iap-common.ts","normalizeAppleResult","REFUND_REVOKE_NOT_HANDLED","Medium","Apple revocation and refund signals are generally normalized to CANCELED rather than a distinct REFUNDED or revoked state.","Low to medium: support and subscription status can be unclear for users and reviewers.","Medium: accounting, support, and entitlement audits lose refund/revoke semantics.","Preserve refund/revoke notification type and revocation reason in normalized state and subscription audit fields.","Tests for App Store REFUND, REVOKE, expiration, grace, and billing retry mapping.","FALSE"
"IAP-012","Android","Refund and voided purchase state mapping","apps/web/src/app/api/webhooks/playstore/route.ts","POST /api/webhooks/playstore","REFUND_REVOKE_NOT_HANDLED","Medium","Voided purchase notifications set subscription status to CANCELED and do not retain refund type/order details in normalized entitlement.","Low to medium: support and subscription status can be unclear for users and reviewers.","Medium: refund/revoke analytics and entitlement audits lose event specificity.","Persist voided purchase details and map refund/revoke states distinctly from voluntary cancellation.","Tests for Play voided purchase notification and refunded subscription entitlement removal.","FALSE"
"IAP-013","iOS/Android","Product catalog","apps/web/src/app/api/mobile/iap/products/route.ts","GET /api/mobile/iap/products","PRODUCT_ID_MISMATCH","High","Mobile product IDs are exposed from runtime config names, but source cannot verify that App Store Connect and Play Console products exist, are active, or match monthly/yearly plan intent.","High: store review and purchase flow fail if products are missing, inactive, or mismatched.","High: client can show unavailable products or map purchases to wrong plan/interval.","Manually verify StoreKit product IDs, Play product IDs, subscription group, base plans, offers, prices, and runtime config before enabling mobile purchase.","Config tests for required product IDs in mobile-enabled environments; sandbox product fetch tests for both stores.","TRUE"
"IAP-014","Android","RTDN store configuration","apps/web/src/app/api/webhooks/playstore/route.ts","POST /api/webhooks/playstore","NEEDS_MANUAL_REVIEW","High","RTDN route supports OIDC verification and package validation, but Pub/Sub topic, audience, expected service account, and Play Console RTDN setup are external to source.","High if production RTDN is absent or unverifiable during review/launch.","High: renewals, cancellations, refunds, and grace-period changes can be missed.","Verify Play Console RTDN, Pub/Sub push authentication, audience, and expected service account settings in staging and production.","End-to-end RTDN test notification and signed Pub/Sub delivery test.","TRUE"
"IAP-015","iOS","App Store notification configuration","apps/web/src/app/api/webhooks/appstore/route.ts","POST /api/webhooks/appstore","NEEDS_MANUAL_REVIEW","High","App Store notification route verifies signed notifications, but App Store Server Notification URL and sandbox/production delivery setup are external to source.","High if App Store notifications are not configured before launch.","High: renewals, refunds, grace, billing retry, and revocations can be missed.","Configure and verify App Store Server Notifications for sandbox and production environments.","End-to-end App Store server notification tests for TEST, DID_RENEW, EXPIRED, REFUND, and REVOKE.","TRUE"
"IAP-016","iOS/Android","Store review metadata","apps/mobile/app.json","store submission","STORE_REVIEW_METADATA_GAP","High","Source shows app identifiers and purchase code but cannot verify review notes, active IAP products, subscription declarations, or test account instructions.","High: store review can reject apps with login or subscription flows that reviewers cannot test.","Medium: reviewers may see incomplete paywall or unavailable products.","Prepare review notes, test account, sandbox instructions, product screenshots, and subscription disclosures; hide purchase UI until ready.","Manual pre-submit checklist and scripted smoke test using reviewer account.","TRUE"
"IAP-017","iOS/Android","Privacy and data safety","apps/web/src/app/privacy/page.tsx","public privacy/data declarations","DATA_SAFETY_PRIVACY_GAP","Medium","Public privacy page exists, but App Store privacy nutrition labels and Play Data Safety answers are not source-verifiable and must match account, address, document, analytics, notification, and payment data use.","Medium: inaccurate privacy declarations can block review or create compliance exposure.","Medium: user data processing disclosures can drift from actual implementation.","Complete and periodically audit App Privacy and Play Data Safety declarations against actual app behavior and processors.","Store metadata review checklist and privacy declaration regression checklist.","TRUE"
"IAP-018","iOS/Android","Reviewer access","repository","store review test account","TEST_ACCOUNT_GAP","High","No source-verifiable App Review or Play Review test credentials, sandbox testers, or reviewer purchase instructions were found.","High: login-required apps can be rejected if reviewers cannot access premium and purchase flows.","Medium: review cannot validate restore, purchase, or existing subscriber paths.","Create reviewer account, sandbox testers, and review notes explaining free/login, IAP, restore, and existing subscriber scenarios.","Manual store-review dry run with reviewer account and sandbox purchase.","TRUE"
"IAP-019","iOS/Android","Purchase ownership binding","apps/mobile/src/lib/iap.ts","purchaseSubscription and restorePurchases","NEEDS_MANUAL_REVIEW","Medium","Purchase calls do not pass App Store app account token or Google obfuscated account/profile identifiers, and the database does not enforce purchaseToken uniqueness.","Low to medium: cross-account restore disputes are harder to prove.","Medium: token replay and account binding rely mostly on backend transaction ownership checks after purchase.","Pass stable hashed account identifiers supported by StoreKit/Play Billing and add database uniqueness or durable ownership checks for Google purchase tokens.","Cross-account purchase and restore tests with two users and the same store account.","FALSE"
"IAP-020","Security","Logging redaction","apps/web/src/app/api/webhooks/appstore/route.ts","unowned notification logging","NEEDS_MANUAL_REVIEW","Low","Unowned App Store notification logging can include full original transaction identifiers.","Low: not a payment policy blocker but long-lived purchase identifiers should be minimized in logs.","Low: logs can expose purchase identifiers to broader internal audiences.","Hash or partially redact transaction identifiers in logs and security events.","Logging tests or static checks for token/transaction redaction.","FALSE"
