implementationBatch,sourceCsvRow,state,priority,category,providerName,proposedSlug,providerRole,officialWebsite,sourceType,candidateRecommendedAction,codexDecision,existingMatchedSlug,existingMatchReason,normalizedDomain,existingDomainSlugs,coverageModel,recommendedZipPrefixesIfKnown,exactZipsIfKnown,addressCheckRequired,shouldCreateMovingTask,shouldShowInNormalRecommendations,shouldShowTrackAsService,riskLevel,codexReason
BATCH_2_LOCAL_UTILITY_REVIEW,38,AL,High,UTILITY_SEWER,City of Huntsville Water Pollution Control,huntsville-water-pollution-control,START_STOP_SERVICE_PROVIDER,https://www.huntsvilleal.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,huntsvilleal.gov,,zip_prefix,357;358,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,39,AL,High,UTILITY_SEWER,City of Tuscaloosa Sewer,tuscaloosa-sewer,START_STOP_SERVICE_PROVIDER,https://www.tuscaloosa.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,tuscaloosa-water,Same City of Tuscaloosa utility account as the planned water row; avoid duplicate water/sewer providers.,tuscaloosa.com,,existing_provider_update,354,,yes,no,no,no,MEDIUM,Same City of Tuscaloosa utility account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,37,AL,High,UTILITY_SEWER,Jefferson County Environmental Services Department,jefferson-county-environmental-services,START_STOP_SERVICE_PROVIDER,https://www.jeffcoes.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,jeffcoes.org,,zip_prefix,350;351;352,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,35,AL,High,UTILITY_SEWER,Mobile Area Water and Sewer System Sewer,mawss-sewer,START_STOP_SERVICE_PROVIDER,https://www.mawss.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,mawss-water,Same MAWSS account as the planned water row; avoid duplicate water/sewer providers.,mawss.com,,existing_provider_update,366,,yes,no,no,no,MEDIUM,Same MAWSS account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,36,AL,High,UTILITY_SEWER,Water Works and Sanitary Sewer Board of the City of Montgomery Sewer,montgomery-water-works-sewer,START_STOP_SERVICE_PROVIDER,Unknown official public site found,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,BACKLOG_ONLY,,Official public site was not confirmed in the candidate CSV; hold until a reliable board/customer account URL is verified.,,,manual_backlog,361,,yes,no,no,no,MEDIUM,Official public site was not confirmed in the candidate CSV; hold until a reliable board/customer account URL is verified.
BATCH_2_LOCAL_UTILITY_REVIEW,43,AL,High,UTILITY_TRASH,Birmingham Waste Services Division,birmingham-waste-services,START_STOP_SERVICE_PROVIDER,https://www.birminghamal.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,birminghamal.gov,,zip_prefix,352,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
BATCH_2_LOCAL_UTILITY_REVIEW,46,AL,High,UTILITY_TRASH,City of Huntsville Garbage and Recycling,huntsville-sanitation,START_STOP_SERVICE_PROVIDER,https://www.huntsvilleal.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,huntsvilleal.gov,,zip_prefix,357;358,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
BATCH_2_LOCAL_UTILITY_REVIEW,44,AL,High,UTILITY_TRASH,City of Mobile Sanitation / Public Services,mobile-sanitation,START_STOP_SERVICE_PROVIDER,https://www.cityofmobile.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,cityofmobile.gov,,zip_prefix,366,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
BATCH_2_LOCAL_UTILITY_REVIEW,45,AL,High,UTILITY_TRASH,City of Montgomery Sanitation Department,montgomery-sanitation,START_STOP_SERVICE_PROVIDER,https://www.montgomeryal.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,montgomeryal.gov,,zip_prefix,361,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
BATCH_2_LOCAL_UTILITY_REVIEW,47,AL,High,UTILITY_TRASH,"City of Tuscaloosa Garbage, Trash and Recycling",tuscaloosa-garbage-trash,START_STOP_SERVICE_PROVIDER,https://www.tuscaloosa.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,tuscaloosa.com,,zip_prefix,354,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
BATCH_2_LOCAL_UTILITY_REVIEW,31,AL,High,UTILITY_WATER,City of Tuscaloosa Water,tuscaloosa-water,START_STOP_SERVICE_PROVIDER,https://www.tuscaloosa.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,tuscaloosa.com,,zip_prefix,354,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,29,AL,High,UTILITY_WATER,Huntsville Utilities Water,huntsville-utilities-water,START_STOP_SERVICE_PROVIDER,https://www.hsvutil.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,huntsville-utilities-electric,Same Huntsville Utilities account/domain as the existing Batch 1 electric row.,hsvutil.org,huntsville-utilities-electric,existing_provider_update,357;358,,yes,no,no,no,MEDIUM,Same Huntsville Utilities account/domain as the existing Batch 1 electric row.
BATCH_2_LOCAL_UTILITY_REVIEW,30,AL,High,UTILITY_WATER,Madison County Water Department,madison-county-water,START_STOP_SERVICE_PROVIDER,https://www.madisoncountyal.gov/departments/water-department,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,madisoncountyal.gov,,zip_prefix,357;358,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,27,AL,High,UTILITY_WATER,Mobile Area Water and Sewer System Water,mawss-water,START_STOP_SERVICE_PROVIDER,https://www.mawss.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,mawss.com,,zip_prefix,366,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,28,AL,High,UTILITY_WATER,Water Works and Sanitary Sewer Board of the City of Montgomery Water,montgomery-water-works,START_STOP_SERVICE_PROVIDER,Unknown official public site found,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,BACKLOG_ONLY,,Official public site was not confirmed in the candidate CSV; hold until a reliable board/customer account URL is verified.,,,manual_backlog,361,,yes,no,no,no,MEDIUM,Official public site was not confirmed in the candidate CSV; hold until a reliable board/customer account URL is verified.
BATCH_2_LOCAL_UTILITY_REVIEW,44,AR,High,UTILITY_SEWER,Bentonville Wastewater Utilities,bentonville-wastewater-utilities,START_STOP_SERVICE_PROVIDER,https://www.bentonvillear.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,bentonville-water-utilities,Same Bentonville utilities account as the planned water row; avoid duplicate water/sewer providers.,bentonvillear.com,,existing_provider_update,727,,yes,no,no,no,MEDIUM,Same Bentonville utilities account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,41,AR,High,UTILITY_SEWER,Conway Corp Wastewater,conway-corp-wastewater,START_STOP_SERVICE_PROVIDER,https://www.conwaycorp.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,conway-corp-electric,Same Conway Corp multi-utility account/domain as the existing Batch 1 electric row.,conwaycorp.com,conway-corp-electric,existing_provider_update,720,,yes,no,no,no,MEDIUM,Same Conway Corp multi-utility account/domain as the existing Batch 1 electric row.
BATCH_2_LOCAL_UTILITY_REVIEW,39,AR,High,UTILITY_SEWER,Fayetteville Water and Sewer,fayetteville-sewer,START_STOP_SERVICE_PROVIDER,https://www.fayetteville-ar.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,fayetteville-water,Same Fayetteville water/sewer account as the planned water row; avoid duplicate category rows.,fayetteville-ar.gov,,existing_provider_update,727,,yes,no,no,no,MEDIUM,Same Fayetteville water/sewer account as the planned water row; avoid duplicate category rows.
BATCH_2_LOCAL_UTILITY_REVIEW,40,AR,High,UTILITY_SEWER,Fort Smith Utilities Sewer,fort-smith-sewer,START_STOP_SERVICE_PROVIDER,https://www.fortsmithar.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,fort-smith-water,Same Fort Smith utilities account as the planned water row; avoid duplicate water/sewer providers.,fortsmithar.gov,,existing_provider_update,729,,yes,no,no,no,MEDIUM,Same Fort Smith utilities account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,38,AR,Critical,UTILITY_SEWER,Little Rock Water Reclamation Authority,little-rock-water-reclamation,START_STOP_SERVICE_PROVIDER,https://lrwra.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,lrwra.com,,zip_prefix,722,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,43,AR,High,UTILITY_SEWER,Rogers Water Utilities Sewer,rogers-sewer-utilities,START_STOP_SERVICE_PROVIDER,https://www.rwu.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,rogers-water-utilities,Same Rogers Water Utilities account as the planned water row; avoid duplicate water/sewer providers.,rwu.org,,existing_provider_update,727,,yes,no,no,no,MEDIUM,Same Rogers Water Utilities account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,45,AR,High,UTILITY_SEWER,Springdale Water Utilities Wastewater,springdale-water-utilities-wastewater,START_STOP_SERVICE_PROVIDER,https://springdalewater.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,springdalewater.com,,zip_prefix,727,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,49,AR,High,UTILITY_TRASH,Fayetteville Recycling and Trash,fayetteville-recycling-trash,START_STOP_SERVICE_PROVIDER,https://www.fayetteville-ar.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,fayetteville-ar.gov,,zip_prefix,727,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
BATCH_2_LOCAL_UTILITY_REVIEW,50,AR,High,UTILITY_TRASH,Fort Smith Solid Waste Services,fort-smith-solid-waste,START_STOP_SERVICE_PROVIDER,https://www.fortsmithar.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,fortsmithar.gov,,zip_prefix,729,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
BATCH_2_LOCAL_UTILITY_REVIEW,47,AR,High,UTILITY_TRASH,Little Rock Solid Waste Services,little-rock-solid-waste,START_STOP_SERVICE_PROVIDER,https://www.littlerock.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,littlerock.gov,,zip_prefix,722,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
BATCH_2_LOCAL_UTILITY_REVIEW,48,AR,High,UTILITY_TRASH,North Little Rock Sanitation,north-little-rock-sanitation,START_STOP_SERVICE_PROVIDER,https://nlr.ar.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,nlr.ar.gov,,zip_prefix,721,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
BATCH_2_LOCAL_UTILITY_REVIEW,35,AR,High,UTILITY_WATER,Bentonville Water Utilities,bentonville-water-utilities,START_STOP_SERVICE_PROVIDER,https://www.bentonvillear.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,bentonvillear.com,,zip_prefix,727,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,32,AR,High,UTILITY_WATER,Conway Corp Water,conway-corp-water,START_STOP_SERVICE_PROVIDER,https://www.conwaycorp.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,conway-corp-electric,Same Conway Corp multi-utility account/domain as the existing Batch 1 electric row.,conwaycorp.com,conway-corp-electric,existing_provider_update,720,,yes,no,no,no,MEDIUM,Same Conway Corp multi-utility account/domain as the existing Batch 1 electric row.
BATCH_2_LOCAL_UTILITY_REVIEW,30,AR,High,UTILITY_WATER,Fayetteville Water and Sewer,fayetteville-water,START_STOP_SERVICE_PROVIDER,https://www.fayetteville-ar.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,fayetteville-ar.gov,,zip_prefix,727,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,31,AR,High,UTILITY_WATER,Fort Smith Utilities Water,fort-smith-water,START_STOP_SERVICE_PROVIDER,https://www.fortsmithar.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,fortsmithar.gov,,zip_prefix,729,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,33,AR,High,UTILITY_WATER,Jonesboro City Water and Light Water,jonesboro-cwl-water,START_STOP_SERVICE_PROVIDER,https://www.jonesborocwl.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,jonesborocwl.org,,zip_prefix,724,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,34,AR,High,UTILITY_WATER,Rogers Water Utilities,rogers-water-utilities,START_STOP_SERVICE_PROVIDER,https://www.rwu.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,rwu.org,,zip_prefix,727,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,39,AZ,High,UTILITY_SEWER,City of Chandler Wastewater,chandler-wastewater,START_STOP_SERVICE_PROVIDER,https://www.chandleraz.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,chandler-water,Same Chandler municipal utility account as the planned water row; avoid duplicate water/sewer providers.,chandleraz.gov,,existing_provider_update,852,,yes,no,no,no,MEDIUM,Same Chandler municipal utility account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,42,AZ,High,UTILITY_SEWER,City of Tempe Wastewater Services,tempe-wastewater,START_STOP_SERVICE_PROVIDER,https://www.tempe.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,tempe-water-services,Same Tempe water services account as the planned water row; avoid duplicate water/sewer providers.,tempe.gov,,existing_provider_update,852,,yes,no,no,no,MEDIUM,Same Tempe water services account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,41,AZ,High,UTILITY_SEWER,Glendale Water Services Sewer,glendale-sewer,START_STOP_SERVICE_PROVIDER,https://www.glendaleaz.com/live/city_services/water_services,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,glendale-water-services,Same Glendale Water Services account as the planned water row; avoid duplicate water/sewer providers.,glendaleaz.com,,existing_provider_update,853,,yes,no,no,no,MEDIUM,Same Glendale Water Services account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,36,AZ,Critical,UTILITY_SEWER,Pima County Regional Wastewater Reclamation Department,pima-county-wastewater,START_STOP_SERVICE_PROVIDER,https://www.pima.gov/wastewater,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,pima.gov,,zip_prefix,856;857,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,38,AZ,High,UTILITY_SEWER,Scottsdale Water Wastewater,scottsdale-wastewater,START_STOP_SERVICE_PROVIDER,https://www.scottsdaleaz.gov/water,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,scottsdale-water,Same Scottsdale Water account as the planned water row; avoid duplicate water/sewer providers.,scottsdaleaz.gov,,existing_provider_update,852,,yes,no,no,no,MEDIUM,Same Scottsdale Water account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,40,AZ,High,UTILITY_SEWER,Town of Gilbert Wastewater,gilbert-wastewater,START_STOP_SERVICE_PROVIDER,https://www.gilbertaz.gov/departments/public-works/wastewater,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,gilbert-water,Same Gilbert utility account as the planned water row; avoid duplicate water/sewer providers.,gilbertaz.gov,,existing_provider_update,852,,yes,no,no,no,MEDIUM,Same Gilbert utility account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,49,AZ,High,UTILITY_TRASH,City of Chandler Recycling and Trash,chandler-recycling-trash,START_STOP_SERVICE_PROVIDER,https://www.chandleraz.gov/residents/recycling-and-trash,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,chandleraz.gov,,zip_prefix,852,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
